question,answer,category,similar_questions
"这个产品怎么用？","您好，产品使用方法如下：1. 开箱后检查配件是否齐全 2. 阅读产品说明书 3. 按照步骤操作。如有问题可查看我们的视频教程或联系客服。","售前咨询","怎么用;使用方法;操作指南;说明书;教程"
"产品有什么功能？","这款产品具有多种实用功能，主要包括：核心功能 A、智能功能 B、便捷功能 C。具体功能详情可查看商品详情页或咨询客服。","售前咨询","有什么功能;功能介绍;产品功能;主要功能"
"产品质量怎么样？","我们的产品经过严格质量检测，合格率 99% 以上，提供 1 年质保服务，支持 7 天无理由退换，请您放心购买。","售前咨询","质量好吗;质量可靠吗;品质如何;质量保障"
"保修期多久？","本产品享受全国联保服务，整机保修 1 年，主要部件保修 3 年。保修期内非人为损坏免费维修。","售前咨询","保修多久;质保期;保修政策;售后服务"
"有现货吗？","您好，页面显示有库存的商品都有现货，下午 4 点前下单当天发货，4 点后下单次日发货。","售前咨询","有货吗;库存;什么时候发货;现货"
"什么时候能到？","发货后一般 2-5 天到达，具体时效取决于您所在地区和快递公司。偏远地区可能稍慢 1-2 天。","售前咨询","多久能到;配送时间;几天到;物流时效"
"包邮吗？","本店全场满 99 元包邮，不满 99 元收取 10 元运费。新疆、西藏、港澳台及海外地区不包邮。","售前咨询","运费多少;包不包邮;配送费;快递费"
"可以货到付款吗？","支持货到付款服务，下单时选择'货到付款'即可。部分偏远地区可能不支持，以页面显示为准。","售前咨询","货到付款;到付;现金支付;当面付款"
"如何支付？","我们支持多种支付方式：支付宝、微信支付、银联卡、花呗分期等。下单时可选择便捷的支付方式。","售前咨询","怎么付款;支付方式;付款方法;可以分期吗"
"有优惠券吗？","关注店铺可领取 5 元无门槛优惠券，满 199 减 20、满 299 减 30 等大额券。会员还有专属优惠券。","售前咨询","优惠券;折扣;满减;活动"
"能便宜点吗？","亲，我们已经是底价销售了哦~ 不过您可以领取店铺优惠券，或者关注我们的促销活动。","售前咨询","能优惠吗;便宜点;最低价;打折"
"买多有优惠吗？","购买 2 件享受 9.5 折，3 件以上享受 9 折优惠。批发客户请联系客服获取更优惠的价格。","售前咨询","批发价;团购;多买优惠;批量购买"
"可以开发票吗？","支持开具正规增值税发票。下单时备注发票抬头和税号，发票将随货寄出或电子发票发送至邮箱。","售前咨询","开发票;发票;税票;报销凭证"
"产品是什么材质？","这款产品采用优质材料制作，具体材质请查看商品详情页的'规格参数'栏目，或咨询客服获取详细信息。","售前咨询","材质;材料;什么做的;成分"
"有哪些颜色？","这款产品有多种颜色可选：经典黑、优雅白、时尚红、商务蓝等。具体可选颜色以页面显示为准。","售前咨询","颜色;配色;有什么颜色;颜色选择"
"尺寸是多少？","产品尺寸请查看商品详情页的'规格参数'，我们会提供详细的长宽高数据。也可咨询客服获取建议。","售前咨询","尺寸;大小;规格;多大"
"适合什么人群？","这款产品适合大多数人群使用，特别适合 [目标人群]。具体适用人群请参考商品详情或咨询客服。","售前咨询","适合谁;适用人群;谁可以用;推荐人群"
"产地是哪里？","我们的产品均为正规厂家生产，产地为中国 [具体省份]。所有产品都有质量合格证，请放心购买。","售前咨询","产地;哪里生产;生产厂家;品牌"
"有说明书吗？","每款产品都配有中文说明书，包含产品介绍、使用方法、注意事项等内容。也提供电子版说明书下载。","售前咨询","说明书;使用手册;操作指南;教程"
"怎么安装？","产品安装很简单，说明书中有详细安装步骤。我们也提供安装视频教程，如有困难可联系客服指导。","售前咨询","怎么安装;安装方法;难安装吗;安装教程"
"我的订单到哪了？","您可以在'我的订单'中查看物流状态，或提供订单号帮您查询。一般发货后 2-5 天送达。","订单查询","订单查询;物流查询;订单状态;我的订单"
"发货了吗？","您的订单我们会及时发货，发货后会有短信通知。请提供订单号帮您查询具体发货状态。","订单查询","发货状态;发没发货;什么时候发货;已发货吗"
"物流怎么还没到？","物流时效受多种因素影响，请提供订单号帮您查询。如遇物流延误，我们会催促快递公司。","订单查询","物流慢;还没到;物流信息;快递进度"
"能修改收货地址吗？","未发货的订单可以修改地址，请提供订单号和新地址。已发货的订单需要联系快递公司修改。","订单查询","改地址;修改地址;换地址;地址错了"
"订单能取消吗？","未发货的订单可以申请取消，在'我的订单'中操作或联系客服。已发货的订单需要拒收或申请退货。","订单查询","取消订单;退款;不想要了;申请退款"
"收到货破损了怎么办？","如收到货有破损，请拍照并拒收，我们会重新发货。如已签收，请在 24 小时内联系客服处理。","售后服务","破损;损坏;碎了;坏了"
"发错货了怎么办？","非常抱歉发错货了！请联系客服，我们会安排补发或退货退款，并承担往返运费。","售后服务","发错;颜色错了;型号不对;发错商品"
"少发了东西怎么办？","请提供订单号和缺少物品照片，核实后我们会立即补发或退还相应金额。","售后服务","少发;漏发;缺少配件;东西不全"
"产品有质量问题怎么办？","如产品有质量问题，7 天内可退货，15 天内可换货。请提供照片或视频，我们会快速处理。","售后服务","质量问题;坏了;故障;不好用"
"怎么申请退货？","在'我的订单'中找到对应订单，点击'申请退货'，选择退货原因，提交后按提示寄回商品即可。","售后服务","退货;退款;不要了;申请退款"
"退货地址是什么？","退货地址会在退货申请通过后显示，不同地区有不同退货仓库。请按系统提供的地址寄回。","售后服务","退到哪;退货地址;寄回地址;退回哪里"
"退货运费谁承担？","质量问题或发错货由我们承担运费；7 天无理由退货由买家承担运费。建议购买运费险。","售后服务","运费;快递费;谁出运费;退货运费"
"退款多久到账？","我们收到退货后 1-3 个工作日处理退款，退款会原路返回。支付宝/微信即时到账，银行卡 3-7 天。","售后服务","退款时间;多久到账;什么时候退款;退钱"
"可以换货吗？","支持换货服务，在'我的订单'中申请换货，选择换货原因，寄回商品后我们会发出新商品。","售后服务","换货;换颜色;换尺码;换型号"
"换货运费怎么算？","质量问题换货我们承担往返运费；非质量问题换货，买家承担寄回运费，我们承担寄出运费。","售后服务","换货运费;运费谁出;换货费用"
"产品不会用怎么办？","我们有详细的使用说明书和视频教程。如仍有问题，可联系客服获得一对一指导服务。","售后服务","不会用;怎么用;使用问题;操作问题"
"配件能单独买吗？","大部分配件都可以单独购买，请在店铺搜索配件名称或联系客服咨询价格和购买方式。","售后服务","配件;单独购买;买配件;替换件"
"有维修服务吗？","保修期内免费维修，保修期外提供有偿维修服务。具体维修费用需检测后确定。","售后服务","维修;修理;坏了怎么修;维修点"
"产品能保修吗？","所有产品都享受保修服务，保修期从签收之日起计算。请妥善保管购买凭证。","售后服务","保修;质保;维修保障;售后服务"
"过了保修期还能修吗？","过了保修期仍可提供维修服务，需收取配件费和人工费。具体费用检测后告知。","售后服务","过保;保修期外;超期维修;付费维修"
"如何联系客服？","可通过以下方式联系客服：1. 在线客服（页面右下角）2. 电话客服 3. 微信客服 4. 邮件客服","通用问题","联系客服;客服电话;在线客服;联系方式"
"客服工作时间？","在线客服工作时间：8:00-23:00；电话客服：9:00-18:00。非工作时间可留言，我们会尽快回复。","通用问题","上班时间;工作时间;客服在线;什么时候在线"
"你们是正品吗？","我们所有商品都是正品，支持专柜验货，假一赔十。店铺已缴纳保证金，请放心购买。","通用问题","正品吗;是真的吗;真假;专柜正品"
"可以自提吗？","目前暂不支持自提服务，所有订单统一快递发货。如有特殊需求请联系客服协商。","通用问题","自提;到店取货;自己拿;线下取货"
"支持定制吗？","部分产品支持定制服务，如定制 LOGO、包装等。具体定制需求和费用请咨询客服。","通用问题","定制;定做;个性化;定制 LOGO"
"企业采购有优惠吗？","企业采购享受专属优惠价格，采购量大还有更多折扣。请联系企业客服获取报价。","通用问题","企业采购;批量采购;团购;批发"
"如何成为会员？","注册账户即可成为普通会员，消费可累积积分。积分可兑换优惠券或礼品。","通用问题","会员;注册会员;会员权益;积分"
"会员有什么好处？","会员享受专属折扣、生日礼券、优先发货、专属客服等权益。等级越高优惠越多。","通用问题","会员权益;会员优惠;会员福利;VIP"
"积分怎么用？","积分可在积分商城兑换优惠券、礼品或抵扣现金。100 积分=1 元，下单时可选择使用。","通用问题","积分;积分兑换;积分抵扣;积分使用"
"如何注销账户？","如需注销账户，请联系客服处理。注销前请确保无未完成订单和待处理售后。","通用问题","注销账户;删除账户;关闭账户"
"个人信息安全吗？","我们严格保护用户隐私，所有信息加密存储，不会泄露给第三方。请放心填写。","通用问题","信息安全;隐私保护;信息安全;个人信息"
"如何查看订单？","登录账户后，在'我的订单'中可以查看所有订单状态，包括待付款、待发货、待收货等。","通用问题","我的订单;订单列表;查看订单;订单记录"
"如何收藏店铺？","在店铺首页点击右上角'收藏'按钮即可收藏店铺。收藏后可第一时间收到新品和优惠信息。","通用问题","收藏店铺;关注店铺;店铺收藏"
"有实体店吗？","我们目前以线上销售为主，部分城市有线下体验店。具体地址可咨询客服。","通用问题","实体店;线下店;体验店;门店"
"如何投诉建议？","如有投诉建议，可通过以下方式：1. 在线客服 2. 投诉电话 3. 意见邮箱。我们会认真处理。","通用问题","投诉;建议;意见反馈;举报"
"你们在哪里？","公司位于 [城市]，欢迎前来参观。如需到访，请提前联系客服预约时间。","通用问题","公司地址;在哪里;公司地址;位置"
"可以预定吗？","部分热销产品支持预定，预定需支付定金。具体预定规则请咨询客服。","通用问题","预定;预订;预售;订金"
"定金能退吗？","定金支付后，如买家原因取消订单，定金不予退还。如卖家原因，双倍返还定金。","通用问题","定金;订金;定金退款;定金规则"
"预售多久发货？","预售商品页面会标注预计发货时间，一般 7-15 天。具体以页面显示或客服通知为准。","通用问题","预售;预售期;预售发货;预售时间"
"可以指定快递吗？","默认合作快递为 [快递公司]，如需指定其他快递，请下单时备注或联系客服。","通用问题","指定快递;快递公司;快递选择;物流选择"
"周末发货吗？","我们周末正常发货，下午 4 点前下单当天发货。但快递派送可能受周末影响。","通用问题","周末发货;节假日发货;发货时间;发货规则"
"节假日发货吗？","法定节假日正常接单，部分日期可能延迟发货。具体安排请查看店铺公告。","通用问题","节假日;假期发货;春节发货;国庆发货"
"偏远地区能到吗？","全国范围内都可以配送，偏远地区（新疆、西藏等）运费较高，时效稍慢。","通用问题","偏远地区;新疆西藏;配送范围;能送到吗"
"可以送到国外吗？","目前暂不支持海外直邮，但可通过转运公司。港澳台地区部分产品可配送。","通用问题","海外;国外;国际配送;港澳台"
"如何领取优惠券？","优惠券领取方式：1. 店铺首页领取 2. 商品详情页领取 3. 会员中心领取 4. 活动页面领取","通用问题","优惠券;领券;折扣券;满减券"
"优惠券能叠加吗？","店铺优惠券一般不能叠加使用，但可与平台优惠券、满减活动同时使用。","通用问题","优惠券叠加;券叠加;多用优惠券;叠加使用"
"优惠券什么时候到期？","优惠券有效期请在'我的优惠券'中查看，不同优惠券有效期不同，请及时使用。","通用问题","优惠券有效期;过期时间;券有效期;什么时候过期"
"为什么优惠券不能用？","优惠券使用受限可能原因：1. 未达到使用门槛 2. 商品不在使用范围 3. 已过期","通用问题","优惠券不能用;券用不了;为什么不能用;使用条件"
"如何查看物流？","查看物流方式：1. 我的订单 - 查看物流 2. 点击物流单号 3. 提供订单号给客服查询","通用问题","物流信息;物流查询;快递查询;查看快递"
"物流信息不更新怎么办？","物流信息可能延迟更新，如超过 24 小时未更新，请联系客服帮您催促快递公司。","通用问题","物流不更新;物流停滞;物流异常;快递不动"
"快递丢了怎么办？","如快递丢失，我们会立即补发或退款。请先联系客服，我们会与快递公司协商处理。","通用问题","快递丢失;包裹丢失;丢件;快递不见了"
"能放快递柜吗？","如不方便收货，可联系快递员放快递柜或代收点。但贵重物品建议当面签收。","通用问题","快递柜;代收点;菜鸟驿站;代收"
"快递能改天送吗？","如需改天配送，请联系快递公司客服或快递员协商。也可在快递小程序操作。","通用问题","改天送;延迟配送;预约配送;改时间"
"签收时要注意什么？","签收时请检查：1. 外包装是否完好 2. 商品是否完整 3. 配件是否齐全。有问题请拍照拒收。","通用问题","签收;验货;检查;注意事项"
"没收到货显示已签收怎么办？","如未收到货但显示已签收，请联系快递员或当地网点查询。如确认丢失，我们会处理。","通用问题","被签收;虚假签收;没收到货;显示签收"
"如何评价商品？","在'我的订单'中找到已完成的订单，点击'评价'即可。评价可获得积分奖励。","通用问题","评价;评论;写评价;商品评价"
"评价能修改吗？","评价提交后 30 天内可以修改或删除，超过 30 天将无法修改。请谨慎评价。","通用问题","修改评价;删除评价;改评论;评价管理"
"有晒图奖励吗？","晒图评价可获得额外积分奖励，优质评价还有机会被选为精选评价。","通用问题","晒图;评价奖励;积分奖励;优质评价"
"产品保质期多久？","不同产品保质期不同，请查看商品详情页或咨询客服。我们会保证发货商品有充足保质期。","售前咨询","保质期;有效期;保鲜期;过期时间"
"怎么保存？","产品保存方法请参考说明书或商品详情页。一般建议存放在阴凉干燥处，避免阳光直射。","售前咨询","保存方法;储存;存放;怎么存放"
"是最新款吗？","我们销售的都是最新款产品，会及时更新。如有新旧款同时销售，页面会明确标注。","售前咨询","新款;最新版本;新款吗;版本"
"和旧款有什么区别？","新款在 [功能/性能/外观] 等方面有升级，具体区别请查看商品详情页的对比说明。","售前咨询","新旧款区别;升级;改进;不同版本区别"
"有赠品吗？","部分商品有赠品活动，具体赠品以页面显示或实际收到为准。赠品数量有限，送完即止。","售前咨询","赠品;送什么;有礼物;赠品活动"
"赠品有质量问题怎么办？","赠品也享受质量保证，如有质量问题可申请换货或折现处理。请联系客服。","售后服务","赠品问题;赠品坏了;赠品质量;赠品售后"
"包装怎么样？","我们采用专业包装，确保运输安全。易碎品会有额外防护。礼盒包装可选。","售前咨询","包装;包装盒;包装方式;礼盒装"
"可以送礼吗？","我们的产品很适合送礼，提供精美礼盒包装。也可代写贺卡，下单时备注即可。","售前咨询","送礼;礼物;送人;礼品"
"贺卡怎么写？","代写贺卡免费，下单时在备注栏写上祝福语，我们会打印或手写放入包裹。","售前咨询","贺卡;祝福语;代写贺卡;留言"
"匿名购买可以吗？","支持匿名购买，下单时勾选'匿名购买'，他人查看订单时会隐藏商品信息。","通用问题","匿名;隐私购买;隐藏订单;保密"
"发票内容怎么写？","发票内容可开具商品明细或办公用品等，下单时备注或确认订单时选择。","售前咨询","发票内容;开票内容;发票明细;开什么"
"可以分开开发票吗？","一个订单一般开具一张发票，如需分开开票，请分开下单或联系客服处理。","售前咨询","分开开票;多张发票;分开发票"
"电子发票有效吗？","电子发票与纸质发票具有同等法律效力，可用于报销。我们会发送到您的邮箱。","售前咨询","电子发票;发票效力;报销凭证;发票"
"发票能补开吗？","订单完成后 90 天内可申请补开发票，超过期限可能无法开具。请联系客服。","售后服务","补开发票;后补发票;发票补办"
"开票信息错了怎么办？","如发票信息错误，请在收到发票后及时联系客服。未寄出可修改，已寄出需寄回重开。","售后服务","发票错误;信息错了;发票修改;重开发票"
